Batches,Baseline,Random,Dependency,Part of Speech,Unigram,Bigram,Trigram,Length
0,133566.89,145170.89,157186.9,181081.55,145556.97,163357.22,154942.08,171047.08
100,12285.347,11508.724,11214.369,16152.974,13442.274,11411.465,12175.729,14221.938
200,6447.5767,6480.044,8555.388,7975.472,8173.018,7094.5737,7406.7905,7072.5913
300,5332.4336,5936.5347,8272.807,6656.5596,6980.953,5789.997,5697.2476,6202.3887
400,5207.15,5223.892,5461.2476,5642.629,5894.573,5175.9287,5550.2134,5249.547
500,7429.528,6913.4673,5345.2695,5224.5645,9022.917,5192.2183,4844.9307,4852.7134
600,6627.4604,4759.0527,4770.627,4885.6084,5370.834,5118.223,4742.507,4654.528
700,4769.9443,11728.618,4452.612,4528.7944,4650.765,4768.8574,4716.095,4302.2803
800,3898.0117,4078.067,4383.0747,4649.28,4734.9326,3986.259,4436.0264,4589.333
900,7385.8477,3638.641,4217.9243,4347.232,5342.7056,3807.8232,4032.682,4067.2424
1000,4610.644,3538.9893,3972.5093,4161.0024,15954.952,4200.0176,4312.5254,4149.574
1100,8622.547,3115.5557,3737.6116,4033.6743,4617.3066,5521.467,3553.627,3821.3196
1200,8631.456,3200.954,3666.7566,4237.244,3974.9653,5088.3604,3428.275,4078.6384
1300,2980.604,3875.6042,3463.381,3588.603,3340.4065,3399.381,3372.2256,3683.903
1400,3539.7998,3630.5686,3331.5015,3611.9368,3219.224,3757.1455,5257.4775,3687.2563
1500,3035.7773,2963.425,3455.519,3978.2795,4819.782,3602.5625,3591.551,3593.675
1600,2589.6614,3252.407,3621.8782,3732.4927,4355.743,3276.3376,3857.3372,3438.5696
1700,3098.1157,3141.189,3216.0051,3768.4277,4081.2026,3389.7144,3384.1006,3790.8843
1800,3428.1082,2522.237,3475.2656,3735.1062,3026.908,3103.0715,3821.9062,3335.8252
1900,2923.9253,3033.8557,3818.3323,3650.337,3948.0623,2993.0703,4274.8574,3396.03
2000,3024.5503,4015.4548,3462.0403,3686.3528,4419.1997,3353.6404,3111.6924,3499.3806
2100,4984.682,5106.5854,3339.4507,3206.3188,6102.428,3008.4524,6180.2354,3381.5454
2200,3904.0237,4004.407,3499.03,3180.9302,5009.5967,4163.7974,5390.852,3248.5322
2300,3326.3901,4438.0874,3309.9858,3827.2207,4498.9146,5244.173,4708.613,3237.2405
2400,3617.3625,3705.3396,3321.9614,3443.6694,7043.5996,5192.3223,5087.759,3612.6775
2500,3426.1863,3493.1555,3101.1604,3278.5725,5294.611,3262.2852,5959.0815,3029.7036
2600,3929.536,2989.8179,3169.209,3348.9612,4787.855,4064.3108,7771.3003,3839.3247
2700,3318.4084,2877.347,3041.625,3465.1387,3686.5671,3402.4722,5554.846,3434.4434
