Batches,Baseline,Random,Dependency,Part of Speech,Unigram,Bigram,Trigram,Length
2800,2798.2139,2729.84,3553.2,3015.8289,6963.724,3806.5706,5296.7017,3893.3528
2900,2653.2427,3578.958,3330.1897,3079.5635,6497.482,3760.5796,3342.8953,3861.117
3000,2671.6992,3000.7126,3196.1619,3112.6985,3264.0967,4493.8423,5113.9736,4389.064
3100,2956.447,3357.9734,3479.7295,3169.381,3712.6687,3669.5513,5344.8564,4664.851
3200,3287.3135,3001.8745,3196.7197,2764.8767,4382.1504,3182.2927,3989.385,3054.2087
3300,2486.855,2674.501,3894.0767,3264.2678,3460.6309,4561.3813,5568.2124,2944.8342
3400,3681.2234,3264.878,3909.3513,2989.0938,3445.6565,2945.2273,3972.8542,4048.5854
3500,3042.2605,2669.779,3652.555,2723.573,4546.9834,4400.884,5114.647,3656.3154
3600,3042.0315,3091.0066,4027.4937,3650.473,5930.231,3982.4626,6214.663,4501.4126
3700,3043.7842,3014.716,3912.738,3008.3115,3147.0933,3602.8445,6376.496,2952.5967
3800,3102.6042,3313.6333,3447.961,3930.1655,3914.2537,3298.1506,5062.2383,3494.1748
3900,3013.213,2299.6372,4141.134,3733.276,5935.7876,4126.5703,5946.967,3836.9966
4000,3759.0522,2979.1816,3887.8574,3650.7927,4862.9287,4629.5684,6099.2344,2529.9797
4100,3668.0715,3541.2515,3407.547,3026.7722,4674.399,3848.6619,5993.8726,2789.2324
4200,2730.591,3756.2393,4172.8486,3658.6143,3783.2383,3288.3828,4222.7456,3993.3206
4300,3949.8096,2681.3762,4080.4282,3128.34,4029.6987,3868.773,3971.1985,3006.0974
4400,3323.0835,2296.129,2628.6624,2761.7434,4746.2485,4753.0293,4173.3267,4290.566
4500,3658.6946,3549.945,2943.4695,3554.2202,4932.8613,3854.7188,4499.2324,4120.6245
4600,3498.2964,2664.7373,2869.6765,2947.4158,5012.292,5464.0186,5441.1187,3875.8298
4700,3218.3953,2993.6868,2914.0667,2931.284,5009.8403,5457.2075,4473.262,3604.2463
4800,3705.17,3623.094,3179.0198,3024.836,4351.454,7997.697,7150.244,2385.476
4900,3371.4956,3825.6624,3449.096,2820.4888,4956.879,5906.345,4408.2812,3551.005
5000,3406.368,3478.5847,3437.8057,3316.6465,5550.6626,5213.4053,7000.5405,3251.957
5100,3658.293,3001.878,2934.5818,3339.919,4153.177,5386.4844,4569.976,4214.9966
5200,4194.59,3349.5776,2663.6982,4014.084,4672.3354,4513.1,6939.784,3541.4036
5300,3139.5151,3182.7874,3781.3481,2353.679,4483.329,8713.253,7396.9355,3471.7476
5400,3214.4783,3224.4138,4276.697,4426.4634,3902.706,7097.2803,5437.933,3852.5835
5500,3932.4114,3201.3325,2812.856,3057.2712,4108.582,5330.8174,7914.916,2754.4968
5600,2864.2917,3627.7373,3003.3494,2815.709,4386.842,4327.0137,5232.348,2702.4153
5700,3538.355,3176.168,3046.1714,3060.9734,3772.6313,5686.3047,7596.855,3421.7947
5800,3252.9683,3272.4685,2486.8684,4196.8906,5201.184,5386.0425,6068.738,3089.4858
5900,3131.4595,3539.543,2635.31,2772.4546,5381.7188,7309.636,6318.7456,3442.756
6000,2794.038,3587.8364,2825.41,3244.8164,5596.7534,6640.8667,7775.148,3509.8418
6100,3251.644,3263.5269,2918.1965,3100.2231,3635.7727,5764.608,6505.952,3940.5461
6200,3002.94,3363.021,2487.7483,3734.4795,4609.224,6966.229,6210.936,3022.1545
6300,3218.558,3161.4116,2762.7417,3631.7698,4138.9897,6753.394,7590.026,2781.6394
6400,3168.3445,2745.0898,2539.6338,2845.8594,3643.1936,5790.03,5593.0073,3362.3667
6500,3563.9138,2631.6045,2615.5815,3017.2732,5498.4775,8534.298,6150.4136,2755.562
6600,3336.5125,3152.4907,2045.1115,3510.3071,6806.122,6820.4556,8015.8774,1892.7661
6700,3095.4402,3280.0767,2363.6707,2707.7725,4330.9155,7460.5273,6372.9214,2842.2305
6800,3707.2769,3402.757,2401.9568,3146.946,5093.779,5133.3477,5852.205,3127.991
6900,2563.3862,2491.4082,3224.506,2928.696,5140.863,5176.373,6588.458,2814.3757
7000,2950.2212,2558.31,3351.2456,2230.3425,5639.729,6032.242,6812.2456,2852.699
7100,3118.5103,2508.6926,2510.393,3488.994,7993.9224,5985.5503,7232.8867,3199.0315
7200,2862.5986,3386.9385,3137.0427,3367.3313,4575.148,5486.3564,7562.7505,2948.3762
7300,3581.2903,3661.6335,3901.3398,3907.249,5122.2227,6055.366,10125.678,2535.5776
7400,2722.6355,3448.9707,3190.6465,3167.2603,5884.5703,6804.2266,5294.7173,2535.3513
7500,3889.6006,3437.576,3360.6453,2520.448,5903.479,8383.122,6737.35,2751.3264
7600,3435.7764,3023.6074,3594.4255,2703.0974,6273.8794,4891.422,6465.556,2662.7546
7700,2684.486,3649.8635,3326.8154,2410.6128,6438.5195,4077.8918,8025.103,2668.9744
7800,4623.788,3301.8704,3548.6826,3013.8708,7893.651,4928.7188,6681.8037,2631.3298
7900,4340.479,3161.765,3719.3313,2770.8105,4452.123,3993.7056,7188.2446,2779.8784
8000,3961.5264,3807.0137,3452.459,2907.043,3954.8528,4021.9011,7929.308,2643.6953
8100,3549.708,3812.8123,3715.364,2949.986,4943.123,5520.156,5313.925,2967.1963
8200,2721.3855,4309.146,3804.8684,3194.562,4426.138,4493.306,4023.4736,2833.751
8300,3770.7717,4154.175,3602.2258,2562.0713,4908.3613,4478.966,4814.494,2852.929
8400,2819.1184,3395.214,2647.1074,2739.0205,4440.5386,3912.5889,4741.123,2516.4
8500,2855.0764,4537.2153,2495.408,3064.236,5412.395,3348.5908,5236.132,2208.3245
8600,3505.9644,5123.063,2870.4102,2727.7673,5053.7095,3948.653,4403.2515,2785.5269
8700,2836.03,2766.1543,2849.2053,3117.9067,5864.273,3649.0383,5827.0493,2355.3337
8800,2745.462,4155.1934,2720.012,3277.1125,5727.0513,4311.5757,4987.2065,2098.6543
8900,2791.9512,3517.6296,2800.61,2664.9443,6971.1133,3963.8245,5239.9585,2229.124
9000,3544.8262,2923.4875,3053.7542,3133.222,6793.178,3378.8376,6722.6143,2413.1316
9100,3718.3665,4568.477,2841.7004,3127.8835,4710.665,4798.744,5396.799,2281.898
9200,2808.6433,2312.4805,1903.8689,2207.8718,4649.204,3642.3909,5320.887,2199.175
9300,2165.4578,3975.0256,2209.7769,2472.4348,3676.473,5090.6704,5474.4927,2135.6306
9400,2339.3792,5000.876,2221.9924,2454.856,5797.4443,4136.993,5279.4395,2281.4236
9500,2696.5264,4750.7407,2413.1096,2918.8938,6209.7104,5272.0234,6008.77,2130.8162
9600,3324.4998,6199.148,1773.6721,2194.8198,4300.9434,7148.3286,4094.7773,2508.3398
9700,2773.0059,8854.468,2118.811,2509.108,4839.8,3611.9473,5180.1655,2075.6616
9800,3280.1736,4203.143,1835.579,2932.3142,4556.438,3910.8953,5137.2266,2268.7385
9900,3473.049,3118.2634,2283.3413,2728.2263,4778.486,4880.072,4650.047,2173.5662
10000,3186.8086,5426.308,2254.6775,2943.9185,4426.1294,2952.9077,5637.761,2230.8477
10100,2909.2644,4874.0293,2301.2957,2268.3752,4064.935,4881.747,5865.9395,2422.8083
10200,2970.3079,4136.014,1920.3738,2401.1907,4241.271,4340.1357,4660.8223,2176.2107
10300,4404.0874,3743.3044,2076.8062,2608.3616,2282.1775,4047.018,5157.879,2288.977
10400,2650.5618,5259.5137,1997.1688,2377.451,4587.451,3908.9192,4345.876,2457.326
10500,3188.861,4863.026,1921.1945,3030.3047,3993.8997,4020.7278,5001.0283,2137.9731
10600,2928.7676,5619.9873,2021.6149,1937.7349,6627.106,3641.6619,5715.097,2114.5798
10700,2990.6763,4632.5806,1891.1411,2465.603,5435.766,3554.8677,4419.398,2176.2366
10800,3106.0146,4674.6616,2052.1213,2789.1992,3919.6514,4020.114,4256.8555,1980.4487
10900,3359.8572,4426.2944,2156.7593,2719.1921,4010.0898,3295.5754,4190.2275,2470.9075
11000,3135.9302,4158.0117,2085.8218,2977.462,3938.6304,3592.4827,4167.802,2585.3716
11100,2600.6765,4998.6157,2287.7485,2902.1008,3135.4878,5292.259,4984.297,2497.2183
11200,2697.7224,5610.6216,2237.043,3115.6472,2486.9668,3883.7554,4174.6045,2403.5515
11300,3249.2195,3319.0642,2291.24,3233.9265,3354.3984,3823.6853,3968.2039,1961.9275
11400,2947.6704,3926.981,1995.4441,3182.323,4094.0278,3279.5889,3376.8118,1822.5829
11500,2266.9912,3061.715,1997.6251,2737.797,4591.5435,2559.695,3850.9749,2051.7827
11600,1910.9951,3633.076,2017.6663,2339.0212,4046.7905,4028.1157,3389.805,1911.7972
11700,2703.9133,3730.6064,2161.455,2292.595,4232.192,3396.0596,3526.608,1887.0956
11800,1997.3059,3413.9944,2171.7356,2602.599,6137.4585,3386.5896,3847.1572,2001.94
11900,2472.8403,3623.55,2011.9557,2686.4517,3209.0352,3684.9326,3470.7212,2055.0522
12000,2580.0857,3236.7559,2047.2229,2287.8203,4252.911,2692.8955,3619.9924,2211.584
12100,2462.5713,3107.2085,2061.7922,2409.7568,4442.0293,2022.0063,3572.7073,1738.6257
12200,2386.6958,3270.7024,1742.0896,2218.87,3714.2588,3032.846,3149.9187,2231.1562
12300,2010.5862,3375.562,1971.5767,2276.1567,5888.2354,3010.0393,4748.44,2376.1873
12400,3649.7207,3523.4683,1807.1918,2140.0374,2789.8005,2627.215,3046.5637,2197.4883
12500,3616.9211,2527.415,2066.436,2079.8506,4106.7837,3907.022,3353.5251,2315.1528
12600,3447.208,3352.406,2161.1912,2616.749,2996.9377,4944.613,3134.2798,2356.557
12700,3567.5286,2887.5386,1850.1018,2555.3755,4026.0188,5691.9634,4392.8833,1837.1561
12800,3496.0151,3070.0803,2051.0706,2613.3386,3699.4995,4996.3994,3595.8042,1779.3485
12900,2957.0505,2200.0422,2029.1439,2694.993,2655.5967,4044.4058,3979.509,1772.6364
13000,2889.5964,2821.7925,1962.6769,2848.2883,4612.9575,4555.686,3244.5286,1971.573
13100,2884.492,3042.7163,2148.6716,2278.3818,3911.1672,4696.9473,3596.171,1991.1411
13200,3089.082,2329.9165,2051.6663,2415.661,4331.807,4364.9956,3576.0479,2060.1511
13300,3780.2158,2874.2288,2148.193,2687.1667,3905.7703,4439.62,3330.1199,2088.2021
13400,2475.67,3946.7253,1880.3993,2624.0474,4216.894,4043.2373,3692.8835,1956.2402
13500,2391.5706,4227.4966,1702.377,2825.4949,3614.7866,2928.3528,3596.6958,2102.3394
13600,2178.5073,3532.7078,2186.4207,2787.6396,2999.2766,3202.496,3107.828,1650.6793
13700,3008.851,2929.372,1758.4341,2765.9421,3707.263,4550.1235,3509.0518,1763.4208
13800,2215.242,3245.225,1685.3123,2763.7126,4098.8564,2509.2979,3393.4888,1802.9922
13900,2460.976,3058.251,1958.7567,2428.1494,5447.1255,3144.8372,3197.6924,1417.5358
14000,2944.5322,3279.4668,1856.1937,2358.3433,4116.3945,3639.1965,3004.7332,1386.1255
14100,2243.2942,3078.4097,1875.3419,2476.0793,4168.629,4346.1084,2838.9065,1855.1089
14200,2629.6426,3068.3298,1520.5496,2496.8862,4298.392,3075.1086,3678.5632,1891.7688
14300,2368.2566,3311.473,2274.0574,2409.7107,3852.6904,2250.0464,3635.1865,1708.9867
14400,2550.2156,2957.3367,2546.271,2676.3562,3802.0645,2900.6223,3531.421,1751.901
14500,3179.2258,2918.5986,3736.432,2196.1526,4384.977,3041.9937,3737.262,1747.7457
14600,2960.2913,2671.3862,1978.4119,2186.6677,3883.1921,3858.0364,3759.1956,1799.2982
14700,2556.041,2622.2087,2180.5981,2400.5474,3716.9556,2847.0203,3890.9695,1868.8547
14800,2944.977,2724.4734,1908.6456,2003.5815,2287.4377,2827.39,3519.482,1935.0145
14900,3058.9365,3159.76,1791.7041,2110.2317,4458.922,4601.5166,3644.684,1814.5399
15000,3373.5347,3268.7942,1731.7185,2115.6812,4234.2104,2655.2449,3602.0884,1910.2089
15100,3619.1846,3525.7842,2091.9106,2336.7615,3716.0942,2779.5417,3231.9504,1780.052
15200,3959.872,3215.4531,1916.5599,2132.7517,3879.117,3125.4683,3430.319,1701.954
15300,4391.342,3927.056,1975.3577,2348.0728,5354.714,2415.1633,3068.7837,1756.1498
15400,4431.6123,3377.8455,1849.331,2047.9014,4445.123,2385.8264,3000.1006,1726.0739
15500,3709.352,3503.6482,2244.0066,2412.5366,3740.1501,2438.0608,3197.2014,1730.4523
15600,4916.862,3641.9636,1946.5714,2569.3643,5624.819,2265.6855,3404.5457,1756.9303
15700,4265.769,3650.713,1639.6278,2648.7778,6393.979,2677.0952,2602.2876,1705.5343
15800,3012.003,2658.7542,2292.6606,2545.1228,4097.0747,2777.1147,3035.3691,1756.5778
15900,4748.132,2635.553,2167.5671,1949.8899,7333.7266,2663.0898,3760.3574,1672.6914
16000,3591.87,2848.6348,1961.5234,1914.3777,8042.1416,4309.7705,2692.3228,1816.0201
16100,5728.612,2913.5208,2280.9854,1848.1947,5667.0215,2690.2734,2760.998,1578.5254
16200,3709.089,3093.8196,2017.1334,1913.8612,5655.845,3693.8413,2730.3972,1663.3721
16300,5435.975,2588.1987,2200.272,1741.3495,4931.408,2095.966,2910.5354,1691.5212
16400,3899.814,2816.6504,2143.5662,1520.6133,5432.3403,3398.078,2736.4556,1738.1913
16500,5760.409,2858.464,2046.3582,1679.4814,4213.457,5952.2153,2700.6777,1779.3485
16600,5474.128,2884.826,1884.3253,1786.0886,5583.255,3653.3564,2235.5022,1701.0096
16700,5394.362,2830.0334,1613.5112,1855.3389,5332.088,3604.5938,2763.7825,1802.4359
16800,2142.807,3056.592,1726.0212,1743.5845,4894.9966,3832.360,3168.774,1777.9585
16900,3653.911,2477.5132,1876.4778,1717.8867,4702.3975,3547.463,3506.9644,1538.5985
17000,2623.699,2864.9746,1814.0269,1837.4784,5624.287,2961.518,3777.0232,1642.0673
17100,3946.361,2881.1938,1573.7964,1626.4237,5477.412,5801.621,4522.4277,1686.4762
17200,3931.53,2960.2434,1825.0118,1729.6259,3872.4565,5079.338,3204.6226,1665.452
17300,2483.086,3014.486,1674.5963,1863.654,4254.9805,4786.290,2864.2356,1625.5134
17400,2201.756,2845.112,1661.7903,1918.7911,4660.8755,3303.216,3083.0251,1623.0807
17500,3762.044,3017.391,1963.1648,1948.1957,4514.555,3630.837,2700.9094,1610.7017
17600,1916.478,3334.0918,1713.1732,1566.3981,6403.468,5796.097,2827.9832,1589.0582
17700,2133.296,3893.1077,1615.5846,1793.3837,6750.477,2867.517,2806.6099,1594.7825
17800,3443.813,4011.5278,1590.3567,1629.8441,7231.7354,5932.110,2400.474,1675.2002
17900,3704.21,3190.7866,1469.2561,1593.9469,6466.648,3567.406,2875.86,1626.9635
18000,5203.719,3181.3916,1228.6699,1533.4928,6644.731,3736.544,2382.2659,1669.7148
18100,2668.049,2297.6511,1099.461,1610.4873,3970.642,5157.464,2630.5896,1716.4833
18200,4370.502,2572.0623,1273.885,1482.6082,3078.4243,5397.142,2872.2134,1694.7463
18300,5140.358,2410.2231,1444.6515,1588.9478,3883.507,4110.709,2288.3342,1652.9132
18400,4342.102,2519.7642,1502.8639,1594.9551,2383.7556,4526.784,2733.9524,1639.4761
18500,4314.982,2582.652,1734.7759,1653.8181,4777.0503,4260.981,2298.712,1679.4983
18600,3823.823,2107.9314,1651.6558,1625.0049,3894.389,4925.690,2919.1624,1657.1558
18700,3579.227,2221.0688,1889.5132,1596.3932,6128.3047,2497.559,2705.1667,1640.2518
18800,4485.336,2294.0876,1851.5006,1382.9374,7034.37,4672.204,2903.4617,1601.0159
18900,3450.497,2346.8057,1466.6982,1575.3296,6894.88,3873.480,2945.7004,1504.9277
