Batches,Baseline,Random,Dependency,Part of Speech,Unigram,Bigram,Trigram,Length
7100,219466.5,40054.324,5909.269,7208.5854,400412.47,2689664,500218.28,10384.75
7200,2046770.2,62646.453,16789.611,8600.561,402128.38,4250481,341897.97,7711.2866
7300,480427.1,54083.113,8680.044,9967.077,197295.17,7876660.5,144218.06,7864.698
7400,984593.3,93926.94,15979.225,8263.257,173903.78,6310541,193359.8,6853.023
7500,538978.8,74692.16,13873.012,5485.598,178533.78,10171802,152454.4,11444.248
7600,651062.6,145972.2,12457.064,6190.346,130058.88,2254319.8,77680.59,9727.429
7700,1073968.6,59510.66,11320.663,4617.416,156134.95,9508326,150271.72,9482.061
7800,610076.5,12976.085,17127.438,7731.5293,1120080.6,7069702,49085.086,6581.255
7900,225100.36,21487.188,15915.88,8408.343,366767.66,11207608,44954.52,7738.051
8000,199603.12,22423.08,8493.198,10677.716,282558.94,5738163.5,59227.004,10044.915
8100,228689.67,28845.373,17272.488,6949.825,479576.6,18111974,68112.94,8505.341
8200,235564.16,24770.572,14323.234,9485.127,88964.375,5244860.5,62174.17,8277.375
8300,126557.766,14009.836,15116.826,10087.02,690523.8,6649964.5,33649.316,8678.38
8400,125826.9,26490.28,5467.11,5482.152,141400.31,11069663,24212.873,8326.598
8500,184564.52,35983.203,8759.442,6007.3096,263091.22,19984712,20370.686,8973.215
8600,193700.31,40037.94,9611.534,3816.3774,80663.02,12887875,30611.182,6877.555
8700,131844.84,19826.137,4457.578,5295.065,84227.766,5281592.5,25827.62,6758.0527
8800,159574.42,48990.523,7797.417,4197.331,212060.02,75582376,23901.979,4165.2905
8900,187651.81,19489.408,8147.7407,5122.8965,67214.51,5462594.5,23768.797,7202.69
9000,115416.586,49372.734,8275.986,4522.3936,41884.84,12775294,24709.44,8464.759
9100,113973.76,44718.742,8977.323,4020.8313,30371.488,6320430.5,21859.266,6555.091
9200,95768.52,44717.38,13144.778,5879.1963,34368.438,5331262,20166.508,7530.3784
9300,210090.53,38205.055,9531.072,5391.4487,58940.258,6143710.5,24092.684,8377.303
9400,78048.016,27389.8,5589.5205,4205.754,45726.117,7094070.5,13933.885,6444.3057
9500,77830.83,12025.835,7426.8706,5617.0728,50402.637,11013728,17786.87,7362.991
9600,78440.59,21652.72,6946.194,6006.5933,61894.695,7434160,14580.017,7317.2524
9700,80058.74,13562.091,7524.3267,6448.148,149280.58,5530012,18527.848,5951.523
9800,96350.42,48266.566,9335.1,4927.661,44235.285,34580910,10860.801,6998.7715
9900,58123.395,18633.086,9792.201,6308.775,31676.576,7437322.5,9205.582,6894.294
10000,55742.19,35956.137,13261.413,8612.109,29911.543,13082393,13093.232,6222.705
10100,88549.62,40304.27,13661.645,5588.2944,31186.518,16643766,11505.52,6533.839
10200,98337.85,34261.52,5348.3037,8566.059,28469.21,3852336,7258.5576,7176.874
10300,47322.848,16611.629,7442.512,10287.057,42922.914,73284620,12194.775,7722.7607
10400,45772.668,25105.379,11219.15,7169.95,32161.08,13315050,15309.935,8523.342
10500,58851.004,5647.0166,11260.183,5710.395,28194.506,9781454,18709.42,8880.455
10600,53763.867,37941.773,3321.6194,5918.3384,23155.947,3818047,15440.064,8171.693
10700,65067.996,24284.445,5706.813,6225.8335,23958.484,10583155,14497.159,5931.3677
10800,57146.367,29989.32,6658.6167,6290.8584,20263.383,26375042,18258.125,6026.6646
10900,87174.87,37592.69,6563.899,7539.073,23480.121,13366220,14391.709,5681.486
11000,262300.56,34450.242,6840.3164,10874.9375,19338.293,4964015.5,11612.113,4559.554
11100,94144.86,18909.7,8100.9746,10786.893,23337.492,9985969,9333.398,5405.225
11200,42594.324,19272.309,4562.3906,9537.154,30152.123,12950934,8763.369,5527.937
11300,159386.11,8380.708,5639.3423,16820.303,25195.541,24968576,9791.053,5146.897
11400,136473.12,32503.123,7450.0117,8285.1,11999.211,10727265,12366.254,4828.4224
11500,154234.28,21173.092,4064.7954,5776.6494,8972.427,16446159,11109.624,5884.7046
11600,212200,42542.97,6638.8022,6924.8564,31763.637,9586595,8522.553,5325.7153
11700,28273.238,15763.567,6138.805,6202.2534,23226.873,110653840,10217.988,5584.1235
11800,94377.055,32340.023,6321.38,5979.011,20873.26,6928024.5,5410.511,5792.9956
11900,202019.75,15339.9375,6085.5977,5099.169,24225.186,6798723.5,8848.321,5855.108
12000,103377.01,27182.9,7571.2373,5749.0547,19494.316,14127428,6620.8394,5186.854
